date,year,month,n34_anom,oni_center,mei,n34_lag1,n34_lag2,n34_lag3,n34_lag6,n34_lag12,n34_roll3,n34_roll5,n34_trend1,n34_trend3,month_sin,month_cos,mei_lag1,mei_lag3,state_now,target_n34_anom_t3,target_oni_t3,target_state,persist_pred_state,has_core_features,mei_available,has_target,split
1950-01,1950,1,-1.99,-1.53,,,,,,,,,,,0.5,0.866,,,,-1.54,-1.18,La Nina,,False,False,True,none
1950-02,1950,2,-1.69,-1.34,,-1.99,,,,,,,0.3,,0.866,0.5,,,,-1.75,-1.07,La Nina,,False,False,True,none
1950-03,1950,3,-1.42,-1.16,,-1.69,-1.99,,,,-1.7,,0.27,,1.0,0.0,,,La Nina,-1.27,-0.85,La Nina,La Nina,False,False,True,none
1950-04,1950,4,-1.54,-1.18,,-1.42,-1.69,-1.99,,,-1.55,,-0.12,0.45,0.866,-0.5,,,La Nina,-1.01,-0.54,La Nina,La Nina,False,False,True,none
1950-05,1950,5,-1.75,-1.07,,-1.54,-1.42,-1.69,,,-1.57,-1.678,-0.21,-0.06,0.5,-0.866,,,La Nina,-0.97,-0.42,Neutral,La Nina,False,False,True,none
1950-06,1950,6,-1.27,-0.85,,-1.75,-1.54,-1.42,,,-1.52,-1.534,0.48,0.15,0.0,-1.0,,,La Nina,-0.98,-0.39,Neutral,La Nina,False,False,True,none
1950-07,1950,7,-1.01,-0.54,,-1.27,-1.75,-1.54,-1.99,,-1.3433,-1.398,0.26,0.53,-0.5,-0.866,,,La Nina,-1.03,-0.44,Neutral,La Nina,False,False,True,none
1950-08,1950,8,-0.97,-0.42,,-1.01,-1.27,-1.75,-1.69,,-1.0833,-1.308,0.04,0.78,-0.866,-0.5,,,La Nina,-1.23,-0.6,La Nina,La Nina,False,False,True,none
1950-09,1950,9,-0.98,-0.39,,-0.97,-1.01,-1.27,-1.42,,-0.9867,-1.196,-0.01,0.29,-1.0,-0.0,,,La Nina,-1.31,-0.8,La Nina,La Nina,False,False,True,none
1950-10,1950,10,-1.03,-0.44,,-0.98,-0.97,-1.01,-1.54,,-0.9933,-1.052,-0.05,-0.02,-0.866,0.5,,,La Nina,-1.3,-0.82,La Nina,La Nina,False,False,True,none
1950-11,1950,11,-1.23,-0.6,,-1.03,-0.98,-0.97,-1.75,,-1.08,-1.044,-0.2,-0.26,-0.5,0.866,,,La Nina,-1.04,-0.54,La Nina,La Nina,False,False,True,none
1950-12,1950,12,-1.31,-0.8,,-1.23,-1.03,-0.98,-1.27,,-1.19,-1.104,-0.08,-0.33,-0.0,1.0,,,La Nina,-0.38,-0.17,Neutral,La Nina,False,False,True,none
1951-01,1951,1,-1.3,-0.82,,-1.31,-1.23,-1.03,-1.01,-1.99,-1.28,-1.17,0.01,-0.27,0.5,0.866,,,La Nina,-0.23,0.18,Neutral,La Nina,True,False,True,train
1951-02,1951,2,-1.04,-0.54,,-1.3,-1.31,-1.23,-0.97,-1.69,-1.2167,-1.182,0.26,0.19,0.866,0.5,,,La Nina,-0.01,0.36,Neutral,La Nina,True,False,True,train
1951-03,1951,3,-0.38,-0.17,,-1.04,-1.3,-1.31,-0.98,-1.42,-0.9067,-1.052,0.66,0.93,1.0,0.0,,,La Nina,0.0,0.58,El Nino,La Nina,True,False,True,train
1951-04,1951,4,-0.23,0.18,,-0.38,-1.04,-1.3,-1.03,-1.54,-0.55,-0.852,0.15,1.07,0.866,-0.5,,,La Nina,0.3,0.7,El Nino,La Nina,True,False,True,train
1951-05,1951,5,-0.01,0.36,,-0.23,-0.38,-1.04,-1.23,-1.75,-0.2067,-0.592,0.22,1.03,0.5,-0.866,,,Neutral,0.17,0.89,El Nino,Neutral,True,False,True,train
